month_number,part_of_week,start_station,dest_station,2017,2018,diff_2017_to_2018,diff_pct_2017_to_2018,categorical_from_station,categorical_dest_station,from_station_full,to_station_full
1,weekday,BF,EP,16.15,14.428571428571427,-1.7214285714285715,0.8934099955771783,BF,EP,Bayfair,El Cerrito Plaza
1,weekday,BF,FM,241.4,184.7142857142857,-56.68571428571431,0.7651793111610841,BF,FM,Bayfair,Fremont
1,weekday,BF,FV,229.05,204.47619047619045,-24.573809523809558,0.8927142129499692,BF,FV,Bayfair,Fruitvale
1,weekday,BF,GP,28.8,29.904761904761905,1.1047619047619044,1.0383597883597884,BF,GP,Bayfair,Glen Park
1,weekday,BF,HY,148.65,119.90476190476191,-28.745238095238093,0.8066247016802012,BF,HY,Bayfair,Hayward
1,weekday,BF,LF,4.65,1.3333333333333333,-3.3166666666666673,0.2867383512544803,BF,LF,Bayfair,Lafayette
1,weekday,BF,LM,241.55,237.0,-4.550000000000011,0.9811633202235561,BF,LM,Bayfair,Lake Merritt
1,weekday,BF,MA,95.7,95.76190476190477,0.06190476190477057,1.0006468627158283,BF,MA,Bayfair,MacArthur
1,weekday,BF,MB,9.55,11.952380952380953,2.402380952380952,1.251558214909,BF,MB,Bayfair,Millbrae
1,weekday,BF,MT,737.1,742.9047619047618,5.80476190476179,1.0078751348592616,BF,MT,Bayfair,Montgomery Street
1,weekday,BF,NB,18.75,16.714285714285715,-2.0357142857142847,0.8914285714285715,BF,NB,Bayfair,North Berkeley
1,weekday,BF,NC,5.1,5.0,-0.09999999999999964,0.9803921568627452,BF,NC,Bayfair,North Concord
1,weekday,BF,OA,4.8,5.809523809523809,1.0095238095238095,1.2103174603174602,BF,OA,Bayfair,Oakland International Airport
1,weekday,BF,OR,2.6,1.9523809523809523,-0.6476190476190478,0.7509157509157509,BF,OR,Bayfair,Orinda
1,weekday,BF,OW,37.55,36.80952380952381,-0.740476190476187,0.980280261238983,BF,OW,Bayfair,West Oakland
1,weekday,BF,PH,10.65,12.61904761904762,1.96904761904762,1.1848871003800583,BF,PH,Bayfair,Pleasant Hill
1,weekday,BF,PL,444.0,437.0,-7.0,0.9842342342342343,BF,PL,Bayfair,Powell Street
1,weekday,BF,RM,31.05,18.761904761904766,-12.288095238095234,0.6042481404800246,BF,RM,Bayfair,Richmond
1,weekday,BF,RR,11.45,10.714285714285714,-0.7357142857142858,0.9357454772301934,BF,RR,Bayfair,Rockridge
1,weekday,BF,SB,16.9,15.428571428571427,-1.4714285714285715,0.9129332206255283,BF,SB,Bayfair,San Bruno
1,weekday,BF,SH,68.9,70.85714285714286,1.9571428571428555,1.0284055567074435,BF,SH,Bayfair,South Hayward
1,weekday,BF,SL,120.5,112.66666666666669,-7.833333333333314,0.9349930843706779,BF,SL,Bayfair,San Leandro
1,weekday,BF,SO,25.2,28.0,2.8000000000000007,1.1111111111111112,BF,SO,Bayfair,San Francisco International Airport
1,weekday,BF,SS,13.0,12.190476190476188,-0.809523809523812,0.9377289377289375,BF,SS,Bayfair,South San Francisco
1,weekday,BF,UC,105.3,94.76190476190477,-10.538095238095224,0.8999231221453445,BF,UC,Bayfair,Union City
1,weekday,BF,WC,14.8,13.809523809523812,-0.9904761904761887,0.9330759330759332,BF,WC,Bayfair,Walnut Creek
1,weekday,BF,WD,96.35,83.09523809523809,-13.254761904761907,0.8624311167123829,BF,WD,Bayfair,West Dublin/Pleasanton
1,weekday,BF,WP,22.85,21.571428571428577,-1.278571428571425,0.9440450140668961,BF,WP,Bayfair,Pittsburg/Bay Point
1,weekday,BF,WS,0.0,57.28571428571429,57.28571428571429,inf,BF,WS,Bayfair,Warm Springs
1,weekday,BK,12,467.85,454.28571428571433,-13.564285714285688,0.9710071909494802,BK,12,Berkeley,12th Street / Oakland City Center
1,weekday,BK,16,284.3,270.42857142857144,-13.871428571428567,0.9512084819858299,BK,16,Berkeley,16th Street Mission
1,weekday,BK,19,513.55,513.0,-0.5499999999999545,0.9989290234641224,BK,19,Berkeley,19th Street Oakland
